nombre,categoria,prioridad,descripcion,fecha,estado
juan,agua,Media,"hay una fuga de agua en el baño principal",2025-05-16 10:00:00,Pendiente
maria,electricidad,Alta,"se fue la luz en todo el edificio",2025-05-16 10:05:00,Pendiente
luis,seguridad,Alta,"alguien intentó forzar la puerta de entrada",2025-05-16 10:10:00,Pendiente
ana,limpieza,Baja,"hay basura acumulada en el pasillo del tercer piso",2025-05-16 10:15:00,Pendiente
carlos,ruido,Baja,"la música está muy alta en el apartamento 204",2025-05-16 10:20:00,Pendiente
sofia,agua,Media,"el fregadero de la cocina está goteando",2025-05-16 10:25:00,Pendiente
pedro,electricidad,Alta,"hay un cortocircuito en el tablero eléctrico",2025-05-16 10:30:00,Pendiente
lucia,seguridad,Alta,"se reporta un robo en el estacionamiento",2025-05-16 10:35:00,Pendiente
jorge,limpieza,Baja,"los residuos no fueron recogidos hoy",2025-05-16 10:40:00,Pendiente
elena,ruido,Baja,"fiesta con mucho ruido en el piso 5",2025-05-16 10:45:00,Pendiente
raul,agua,Media,"humedad en la pared del dormitorio",2025-05-16 10:50:00,Pendiente
patricia,electricidad,Alta,"falla eléctrica en el ascensor",2025-05-16 10:55:00,Pendiente
fernando,seguridad,Alta,"vandalismo en el parqueadero",2025-05-16 11:00:00,Pendiente
isabel,limpieza,Baja,"suciedad en la entrada principal",2025-05-16 11:05:00,Pendiente
martin,ruido,Baja,"estruendo constante por reparaciones",2025-05-16 11:10:00,Pendiente
rosa,agua,Media,"desborde en el tanque de agua",2025-05-16 11:15:00,Pendiente
andres,electricidad,Alta,"apagón en la torre B",2025-05-16 11:20:00,Pendiente
valeria,seguridad,Alta,"intrusión detectada en la azotea",2025-05-16 11:25:00,Pendiente
sergio,limpieza,Baja,"desorden en el área de juegos",2025-05-16 11:30:00,Pendiente
paula,ruido,Baja,"bulla de niños en el patio",2025-05-16 11:35:00,Pendiente
adrian,agua,Media,"filtración en el techo del baño",2025-05-16 11:40:00,Pendiente
marina,electricidad,Alta,"cable suelto en el pasillo",2025-05-16 11:45:00,Pendiente
ricardo,seguridad,Alta,"asalto reportado en la entrada",2025-05-16 11:50:00,Pendiente
natalia,limpieza,Baja,"residuos de comida en la escalera",2025-05-16 11:55:00,Pendiente
hugo,ruido,Baja,"clamor por manifestación afuera",2025-05-16 12:00:00,Pendiente
laura,agua,Media,"derrame de agua en el sótano",2025-05-16 12:05:00,Pendiente
